dokument_kod	anchor	opis
D3	disinfolklore-swot-advocatus-przesluchanie	Potrójny test Disinfolklore: SWOT, filozoficzny advocatus diaboli i quasi-sądowe badanie wiarygodności metody.
D3	analiza-swot	Bilans mocnych stron, słabości, szans i zagrożeń przed próbą głębszego podważenia metody.
D3	strengths-sily	Siłą są interdyscyplinarność, doświadczenie terenowe, operacyjne narzędzia i możliwość kontr-narracji.
D3	weaknesses-slabosci	Największe słabości to zależność od autora, brak walidacji i spekulatywne elementy lingwistyczne.
D3	opportunities-szanse	Szanse: skalowanie przez AI, instytucjonalizacja, edukacja i rosnące zapotrzebowanie na analizę wojny informacyjnej.
D3	threats-zagrozenia	Ryzyka: odrzucenie jako pseudonauki, instrumentalizacja polityczna i utrata wiarygodności całego narzędzia.
D3	synteza-strategiczna	Oddzielić empirycznie użyteczny toolkit od spekulacji, sformalizować i poddać zewnętrznej walidacji.
D3	advocatus-diaboli	Seria pytań badających etykę, epistemologię i wewnętrzne sprzeczności Disinfolklore.
D3	archetypowanie-jako-bron	Czy kontr-archetypowanie naprawdę różni się strukturalnie od manipulacji, którą metoda krytykuje?
D3	obserwator-w-polu-bitwy	Czy zaangażowany uczestnik wojny informacyjnej może zachować dystans potrzebny do jej analizy?
D3	mana-falsyfikowalnosc	Czy „mana” ma kryterium empiryczne, czy pozostaje metaforą odporną na falsyfikację?
D3	ukraina-jako-disinfolklore	Czy heroiczne re-archetypowanie Ukrainy samo nie staje się świadomie konstruowaną narracją polityczną?
D3	indoeuropocentryzm	Czy rama oparta na indoeuropejskich archetypach działa poza kulturami ukształtowanymi przez tę tradycję?
D3	problem-skali	Metoda jest za ciężka poznawczo wobec szybkości i prostoty współczesnych kanałów dezinformacji.
D3	narzedzie-czy-system-wierzen	Test granicy, po której analityczna terminologia zaczyna funkcjonować jak zamknięty system wiary.
D3	demokratyczna-bron-i-wyborca	Czy wymagające narzędzie obronne może działać masowo w realnym środowisku demokratycznej uwagi?
D3	trzy-postacie-redukcja-geopolityki	Archetypizacja Trumpa, Putina i Zełenskiego może upraszczać geopolitykę tak samo jak krytykowana propaganda.
D3	postnarracyjne-narzedzie-z-narracji	Aporia: narzędzie mające wyzwalać z narracji samo jest skonstruowane z narracyjnych kategorii.
D3	przesluchanie-bieglego	Quasi-sądowy test, czy Disinfolklore spełnia wymogi powtarzalności, falsyfikowalności i kompetencji eksperckiej.
D3	publikacja-i-recenzja-metody	Pytanie o recenzowaną publikację pełnej metody i niezależny peer review.
D3	powtarzalnosc-klasyfikacji	Test zgodności wyników uzyskiwanych przez niezależnych analityków na tym samym materiale.
D3	mana-kryterium-falsyfikacji	Żądanie wyniku empirycznego, który pozwoliłby uznać diagnozę „silnej many” za błędną.
D3	kwalifikacje-bieglego	Test formalnych kompetencji autora w dyscyplinach, na których opiera szeroką metodę.
D3	bezstronnosc-bieglego	Pytanie, czy jawne zaangażowanie po stronie Ukrainy pozwala zachować bezstronność ekspercką.
D3	operacyjna-definicja-archetypu	Żądanie ścisłej definicji archetypu umożliwiającej niezależne i powtarzalne zastosowanie.
D3	dane-empiryczne-odpornosc-na-dezinformacje	Pytanie o kontrolowane dane dowodzące, że metoda faktycznie zwiększa odporność odbiorców.
D3	m-n-poparcie-lingwistow	Test zewnętrznego poparcia lingwistów dla najbardziej ambitnej hipotezy dźwiękowej M-N.
D3	falszywie-pozytywny	Żądanie przykładu i mechanizmu, w którym metoda błędnie klasyfikuje niewinną treść jako manipulację.
D3	accusation-in-a-mirror-kryterium	Potrzeba kryterium odróżniającego projekcję sprawcy od zwykłego politycznego oskarżenia.
D3	walor-dowodowy	Test konkretnej podstawy prawnej i zakresu, w którym metoda mogłaby być dowodem w postępowaniu.
D3	warunki-obalenia-metody	Najostrzejszy test naukowości: wskazanie warunków, przy których twórca uznałby metodę za obaloną.
