dokument_kod	anchor	opis
D6	jalta-3-0	Scenariusz przebudowy porządku od Kaukazu po Zatokę po osłabieniu irańskiej państwowości. Hanza 2.0 ma powstać z konwergencji interesów, nie z jednej konferencji czy planu mocarstwa.
D6	spis-tresci	Mapa wizji, koncepcji operacyjnej, driverów aktorów, testów wykonalności, ryzyk i werdyktu.
D6	wizja-synteza	Rozpad Iranu jako proces otwierający przestrzeń dla organicznego układu korytarzy, handlu i bezpieczeństwa.
D6	filary-wizji	Pięć podpór: procesowy rozpad, naturalne strefy, zbieżność interesów, szok jako akcelerator i prywatny kapitał.
D6	koncepcja-operacyjna	Przekład wizji na geografię, korytarze i ograniczone działania, które nie wymagają pełnej okupacji Iranu.
D6	rzeka-aras	Aras łączy znaczenie wodne, graniczne i symboliczne, dając Azerbejdżanowi naturalną oś operacji.
D6	pas-30-km	Wąski pas przygraniczny daje barierę obronną i korytarz bez ciężaru administrowania milionami ludzi.
D6	zagros-domena-kurdyjska	Osłabienie Teheranu otwiera Zagros dla kurdyjskich aktorów, ale ich wewnętrzne podziały ograniczają prosty scenariusz.
D6	wielki-deal-wladywostok-za-kaukaz	Hipotetyczny sygnał USA do Chin: ustępstwo wobec rosyjskiego Dalekiego Wschodu w zamian za nieblokowanie Kaukazu.
D6	hanza-2-0	Sieć handlowa z funkcjami bezpieczeństwa, gdzie regionalni aktorzy odpowiadają za własne odcinki zamiast budować nowe imperium.
D6	mapa-driverow	Bilans interesów poszczególnych państw pokazuje, kto zyskuje, czego się boi i co może realnie zrobić.
D6	analizy-przeprowadzone	Seria testów głównych założeń: rozpad Iranu, IRGC, operacja azerska, koalicja, Rosja, finansowanie i szok.
D6	rozpad-iranskiej-panstwowosci	Test, czy obserwowane uszkodzenia oznaczają początek rozpadu państwa czy tylko adaptację reżimu.
D6	argumenty-za-rozpadem	Blackout, zerwana sukcesja, utrata koordynacji i monopolu przemocy wskazują na jakościową degradację państwa.
D6	argumenty-przeciw-rozpadowi	Silna tradycja państwowa, biurokracja i tożsamość irańska mogą utrzymać kraj mimo dekapitacji reżimu.
D6	utrata-aury-strachu-irgc	Pytanie, czy militarne osłabienie IRGC niszczy jego najważniejszy zasób: reputację nieuchronnej siły.
D6	wnioski-irgc	Rozpad sieci proxy i nieskuteczność odwetu czynią utratę aury strachu trudną do odwrócenia.
D6	operacja-azerska	Ocena ograniczonego wejścia Azerbejdżanu do północnego Iranu jako ruchu stabilizacyjnego i korytarzowego.
D6	feasibility-operacji-azerskiej	Gotowość armii, casus belli, kontakt z USA, istniejąca infrastruktura i narracja humanitarna wspierają wykonalność.
D6	konwergencja-interesow-sojusznikow	Test, czy egoistyczne interesy Azerbejdżanu, Turcji, Izraela, USA, UE, Armenii i GCC wystarczą do wspólnego kierunku.
D6	zbieznosci-sojusznikow	Wspólnym mianownikiem są osłabienie Iranu oraz nowe korytarze transportowe i energetyczne.
D6	sprzecznosci-sojusznikow	Koalicję rozrywają konkurencyjne korytarze, kwestia kurdyjska i różny apetyt na skalę rozpadu Iranu.
D6	rola-rosji	Ocena, czy Moskwa ma jeszcze materialną zdolność blokowania przebudowy Kaukazu i Bliskiego Wschodu.
D6	dlaczego-rosja-sie-nie-liczy	Wojna z Ukrainą i utrata wpływów w Armenii redukują Rosję z veto-playera do słabego dostawcy wsparcia Iranowi.
D6	model-finansowania	Nowa infrastruktura miałaby powstawać z mieszanki kapitału UE, GCC, USA, Izraela i prywatnego old money.
D6	zrodla-kapitalu	Kapitał dla korytarzy istnieje w energetyce, logistyce, funduszach Zatoki i cierpliwych inwestorach prywatnych.
D6	szok-jako-akcelerator	Kryzys ma wymusić inwestycje i decyzje, które w normalnych warunkach blokowałoby status quo.
D6	precedensy-historyczne	1973, dot.com, 2008, COVID i 2022 pokazują szoki przyspieszające wcześniej rozpoczęte transformacje.
D6	dziury-i-ryzyka	Największe ryzyka dotyczą nukleariów, ropy, rozlania konfliktu, tożsamości lokalnych i utraty kontroli nad sekwencją.
D6	ryzyko-uran-440-kg	Utrata kontroli nad wysoko wzbogaconym uranem może uruchomić proliferację albo wymusić międzynarodowe zabezpieczenie.
D6	ryzyko-globalny-szok-naftowy	Szok naftowy jednocześnie zwiększa potrzebę nowych korytarzy i osłabia zdolność sponsorów do ich finansowania.
D6	ryzyko-pakistan-beludzystan	Dezintegracja Iranu może przenieść dynamikę beludżyjską na nuklearny Pakistan.
D6	ryzyko-tozsamosc-iranskich-azerow	Irańscy Azerowie nie muszą automatycznie wybierać przyłączenia do Azerbejdżanu; tożsamość jest bardziej złożona.
D6	ryzyko-mission-creep-eskalacja	Ograniczona misja stabilizacyjna może rozszerzyć się w okupację, konflikt regionalny lub starcie sponsorów.
D6	ryzyko-fragmentacja-kurdyjska	Podziały między ugrupowaniami kurdyjskimi mogą zamienić próżnię w konkurencję zamiast stabilnej strefy.
D6	ryzyko-sekwencja-zdarzen	Model zależy od kolejności: te same wydarzenia w innym tempie mogą zamknąć zamiast otworzyć okno.
D6	werdykt-koncowy	Scenariusz jest możliwy, lecz zależy od kilku bardzo mocnych założeń i wymaga rygorystycznego pilnowania ryzyk.
D6	ocena-analityka	Końcowa samoocena oddziela elementy mocno uzasadnione od spekulatywnych, szczególnie w kwestii Chin i skali rozpadu.
