dokument_kod	anchor	opis
D4	taksonomia-rosyjskiego-samobojstwa	Katalog podejrzanych zgonów prominentnych Rosjan, uporządkowany według oficjalnej lub widocznej metody śmierci. Przy każdym przypadku oddziela fakt zgonu od otwartej interpretacji.
D4	defenestracja	Przypadki upadków z okien, szczególnie częste wśród elit biznesowych i urzędniczych po 2022.
D4	bron-palna	Zgony od broni palnej oficjalnie lub wstępnie kwalifikowane jako samobójstwa, często z nietypowymi okolicznościami.
D4	powieszenie-uduszenie	Przypadki powieszeń i uduszeń obejmujące biznes, administrację i osoby z niewygodną wiedzą.
D4	utoniecie-upadek-z-jednostki	Zgony w wodzie lub po wypadnięciu z jednostek pływających, zestawione jako osobny wzorzec.
D4	nagly-zawal-niewydolnosc	Nagłe zgony medyczne oficjalnie tłumaczone zawałem, udarem lub ostrą niewydolnością.
D4	trucizny-substancje-egzotyczne	Udokumentowane i podejrzewane użycia trucizn, od polonu i nowiczoka po inne substancje.
D4	smierc-w-wiezieniu	Zgony w więzieniach i koloniach karnych, gdzie państwo kontroluje warunki, opiekę i dostęp do informacji.
D4	znaleziony-martwy	Przypadki, w których oficjalny komunikat ogranicza się do znalezienia ciała bez jasnego mechanizmu śmierci.
D4	katastrofa-lotnicza	Katastrofy lotnicze jako metoda eliminująca jednocześnie cel i jego otoczenie.
D4	dekapitacja	Przypadki dosłownej lub skrajnie brutalnej dekapitacji jako osobna, rzadka kategoria.
D4	metoda-podwojna	Zgony z więcej niż jednym pozornie samobójczym mechanizmem, podważające prostą wersję oficjalną.
D4	metaanaliza-taksonomii	Wzorce sektorowe, budżetowe i temporalne pokazują, gdzie podejrzane zgony skupiają się w rosyjskim systemie.
