dokument_kod	anchor	opis
D2	disinfolklore	Disinfolklore jako rama łącząca folklor, archetypy i analizę współczesnej dezinformacji. Celem jest rozpoznawanie mechanizmów narracyjnych i budowa odporności poznawczej.
D2	spis-tresci	Mapa dwunastu głównych części kompilacji i jej narzędzi analitycznych.
D2	geneza-most-trolle-folklor	Metoda wyrasta z doświadczeń mediatora na moście w Donbasie i obserwacji folklorystycznej struktury konfliktu.
D2	definicja-i-zakres	Disinfolklore jako forma narracji, teoria analityczna i metoda kontrdziałania w wojnie informacyjnej.
D2	dwanascie-narzedzi	Dwunastoelementowy zestaw do parsowania memów, emocji, archetypów, prowokacji i dystrybucji treści.
D2	archetypal-disinfolklore-literacy	Rozpoznawanie archetypów folklorystycznych ukrytych we współczesnych komunikatach.
D2	troll-radars	Filtrowanie treści, które wpuszczamy do własnego umysłu i sami przekazujemy dalej.
D2	mana-in-the-meme	Identyfikowanie emocjonalnej energii osadzonej w komunikacie i kierunku jej działania.
D2	archetypal-structures	Wykrywanie przełączeń sfer, przemian tożsamości i personifikowania abstrakcji.
D2	trigger-experience-reaction	Rozdzielenie bodźca, doświadczenia i reakcji, by przerwać automatyczny łańcuch emocjonalny.
D2	code-of-positive-trolls	Sześć wartości jako filtr odróżniający komunikację obronną od manipulacyjnej.
D2	accusation-in-a-mirror	Sprawca oskarża przyszłą ofiarę o działania, które sam planuje lub wykonuje.
D2	provocation-logic-cycle	Fabrykowanie zagrożenia, a następnie przedstawianie własnej agresji jako odpowiedzi na nie.
D2	witch-switch	Przekierowanie realnego lęku społecznego na sfabrykowanego winnego.
D2	coercive-control	Model kontroli przymusowej powtarzający się od relacji osobistych po politykę państwa.
D2	re-archetyping	Świadoma zmiana mentalnego modelu obiektu poprzez podstawienie nowego archetypu.
D2	rashist-construction	Analiza produkcji propagandy: temników, fabryk trolli, wektorów i sieci dystrybucji.
D2	trzy-archetypy	Trump, Putin i Zełenski jako trzy figury archetypowe organizujące analizowane pole informacyjne.
D2	druidy-don	Trump jako masowy trickster-szaman zdolny archetypować rzeczywistość polityczną.
D2	duncey-putin	Putin jako groźny, lecz nieuczący się archetyp tępego bohatera folklorystycznego.
D2	komik-zelenski	Zełenski jako archetyp komunikatora wykorzystującego symboliczną „manę” w funkcji obronnej.
D2	mana-energia-w-memach	Mem przenosi emocjonalną energię; samo jej rozpoznanie staje się pierwszym filtrem obronnym.
D2	accusation-in-a-mirror-i-provocation-logic	Dwa sprzężone mechanizmy: projekcja własnych zamiarów i tworzenie pretekstu do agresji.
D2	oskarzenie-w-lustrze	Rosyjskie oskarżenia można czytać jako projekcję własnych planów sprawcy.
D2	cykl-logiki-prowokacji	Sfabrykowany pretekst uruchamia pozornie reaktywną, wcześniej zamierzoną agresję.
D2	witch-switch-przelacznik-czarownicy	Autentyczne problemy społeczne zostają podmienione na łatwy, niewinny cel gniewu.
D2	data-resistant-archetypes	Głęboki archetyp może ignorować fakty, dopóki dramatyczne kontr-dane nie rozbiją modelu.
D2	finding-manuland	Projekt szuka sześciotysięcznej ciągłości indoeuropejskich struktur narracyjnych od Jamna do współczesności.
D2	finding-manuland-glowne-tezy	Ukraina jako cywilizacja źródłowa, Manuland jako kontr-geografia i hipoteza dźwiękowych wzorców semantycznych.
D2	disinfolklore-fimi	FIMI opisuje infrastrukturę manipulacji, Disinfolklore jej archetypowy i emocjonalny mechanizm.
D2	fimi-co-robi-dobrze	FIMI skutecznie mapuje incydenty, kanały, atrybucję i wspólną terminologię dla państw UE.
D2	fimi-czego-nie-widzi	FIMI słabiej ujmuje wewnętrznych pośredników oraz emocjonalną i archetypową treść memu.
D2	counter-disinfolklore	Sześć kroków: rozpoznanie manipulacji, diagnoza mechanizmu i świadome wdrożenie kontr-archetypu.
D2	wnioski-i-kierunki	Rama wymaga dalszej walidacji i rozwoju w AI, prawie oraz re-archetypowaniu Ukrainy.
