dokument_kod	anchor	opis
A7	jak-koncza-sie-panstwa	Typologia sposobów końca państw i filtr zastosowany do współczesnej Rosji. Rdzeń analizy: długi okres erozji może przejść w bardzo szybki rozpad.
A7	ramy	Analiza opisuje formę i przebieg końca państwa, nie pełną etiologię jego upadku.
A7	iii-rzesza	Przykład długiej erozji zakończonej czteromiesięcznym wygaszeniem państwa przez podbój.
A7	rzesza-markery	Dziesięć obserwowalnych oznak przejścia od mocarstwa do fizycznego zaniku państwa.
A7	rzesza-bieguny	Kontrast: ekstynkcja przez podbój w 1945 versus wewnętrzne pęknięcie w 1918.
A7	typologia	Rozszerzenie prostego podziału 1945/1918 do wielu odmiennych form końca państwa.
A7	osiem-trybow	Osiem mechanizmów końca: od podboju i rewolucji po dezintegrację, implozję protezy i absorpcję.
A7	dwustopniowy	Państwo może umrzeć, a potem odrodzić się z rdzenia pod nową formą.
A7	osie	Tryby rozróżniają m.in. akt kapitulacji, proces rozpadu, ciągłość aparatu i los terytorium.
A7	filtr-rosyjski	Typologia zostaje zawężona do trybów rzeczywiście możliwych dla nuklearnej, ogromnej Rosji.
A7	ktore-odpadaja	Podbój, rozbiór i część trybów kapitulacyjnych odpadają; zostają głównie zmiana centrum i dezintegracja.
A7	dwa-silniki	Rosji bliżej do odgórnej defekcji elit ZSRR niż oddolnego rozpadu narodowego Austro-Węgier.
A7	liczba-armii	Armia frontowa i aparat represji to różne pule; klęska frontu jest sygnałem, nie automatycznym rozpadem.
A7	monopol-przekonanie	Monopol przemocy trwa, dopóki aparat wierzy, że centrum pozostaje silne i zwycięskie.
A7	hierarchia	Rosja spadła z roli patrona do klienta Chin, tracąc kolejne szczeble zewnętrznej suwerenności.
A7	kto-chce	Rozdzielenie interesów aktorów według tego, czy chcą Rosji całej, silnej czy ograniczonej do rdzenia.
A7	trzy-stany	Integralność, siła i federacyjność są osobnymi osiami; atrakcyjny bywa silny rdzeń bez peryferii.
A7	chiny-integralnosc	Pekin traktuje integralność Rosji instrumentalnie; ważniejsze są stabilność, dostęp i zależność ekonomiczna.
A7	iran-proliferacja	Iranowi bardziej niż na mapie Rosji zależałoby na krótkim oknie dostępu do technologii nuklearnej.
A7	musk-thiel	Prywatni aktorzy mogą preferować fragmentację i wpływać na zachodni instynkt stabilizacyjny, choć jej nie wywołają.
A7	bilans-kto	Po stronie integralności Rosji nie ma silnej, spójnej koalicji; interesy zewnętrzne są rozproszone.
A7	uchodzcy	Ryzyko uchodźcze jest realne, lecz bardziej zależy od mobilizacji i przemocy niż samej biedy czy rozpadu.
A7	spoiwo	Trzy wewnętrzne warstwy trzymania Rosji okazują się warunkową kalkulacją, nie trwałą lojalnością.
A7	warstwa-silowicy	Siłowicy są czujnikiem postrzeganej siły centrum i mogą zmienić stronę, gdy kalkulacja się odwróci.
A7	warstwa-inercja	Biurokracja podtrzymuje funkcjonowanie państwa, nie reżimu; warunkiem jej inercji jest wypłacalność.
A7	warstwa-oligarchowie	Oligarchowie są zakładnikami systemu i potencjalnym wskaźnikiem wyprzedzającym jego chwiania.
A7	synteza	Wewnętrzne spoiwo zależy od dwóch sygnałów: postrzeganej siły i wypłacalności centrum.
A7	otwarte	Nierozstrzygnięte pozostaje, co zatrzyma żywiołową dezintegrację na peryferiach zamiast wciągnąć rdzeń.
