1	1	99	audhd_phenotype
1	2	384	psychoeducation
1	3	34	significant_others
1	4	175	communication
2	1	516	co_occurring_autism_and_adhd
2	2	99	audhd_phenotype
2	3	390	audhd_core_features
2	4	384	psychoeducation
3	1	448	stereotypes
3	2	384	psychoeducation
3	3	65	adult_diagnostic_assessment
3	4	107	executive_function
4	1	448	stereotypes
4	2	384	psychoeducation
4	3	98	phenotype
4	4	214	camouflaging
5	1	99	audhd_phenotype
5	2	180	needs_conflict
5	3	516	co_occurring_autism_and_adhd
5	4	166	compensation
5	5	182	routine_novelty_conflict
6	1	214	camouflaging
6	2	158	social_chameleonism
6	3	348	late_diagnosis
6	4	197	cognitive_cost
7	1	5	neurodiversity_acceptance
7	2	509	support
7	3	257	diagnostic_acceptance
7	4	472	neurodiversity_awareness
