1	1	99	audhd_phenotype
1	2	75	adulthood
1	3	390	audhd_core_features
1	4	525	patterns_of_functioning
1	5	472	neurodiversity_awareness
2	1	99	audhd_phenotype
2	2	384	psychoeducation
2	3	457	cognitive_style
2	4	534	resources
3	1	376	information_processing
3	2	236	bottom_up_processing
3	3	233	monotropism
3	4	434	associations
3	5	99	audhd_phenotype
4	1	390	audhd_core_features
4	2	243	system_navigation
4	3	99	audhd_phenotype
5	1	390	audhd_core_features
5	2	401	recognition
5	3	98	phenotype
6	1	107	executive_function
6	2	320	planning
6	3	145	task_initiation
6	4	530	time_management
7	1	130	hyperfocus
7	2	492	attention
7	3	233	monotropism
8	1	410	routine
8	2	339	novelty_seeking
8	3	183	internal_conflict
8	4	99	audhd_phenotype
9	1	85	emotion_dysregulation
9	2	91	emotions
9	3	419	self_regulation
10	1	369	sensory_overload
10	2	39	stimuli
10	3	101	sensory_filtering
11	1	139	impulsivity
11	2	177	social_communication
11	3	396	social_rules
12	1	526	sleep_disorders
12	2	322	cognitive_arousal
12	3	423	sleep
13	1	412	circadian_rhythm
13	2	502	evening_arousal
13	3	198	creativity
13	4	214	camouflaging
14	1	23	attribution
14	2	64	diagnostic_assessment
14	3	390	audhd_core_features
15	1	522	autistic_burnout
15	2	63	depression
15	3	366	overload
15	4	45	chronic_fatigue
16	1	507	rejection_sensitivity
16	2	274	rejection
16	3	85	emotion_dysregulation
17	1	342	need_for_solitude
17	2	186	social_contact
17	3	419	self_regulation
17	4	370	social_overload
18	1	92	empathy
18	2	328	double_empathy_problem
18	3	175	communication
19	1	338	sensory_seeking
19	2	489	sensory_avoidance
19	3	395	sensory_regulation
19	4	99	audhd_phenotype
20	1	468	time_blindness
20	2	386	punctuality
20	3	203	compensatory_anxiety
21	1	529	special_interests
21	2	130	hyperfocus
21	3	50	cyclicity
22	1	261	atypical_drug_responses
22	2	201	medications
23	1	235	dichotomous_thinking
23	2	244	habits
23	3	410	routine
23	4	89	flexibility
24	1	390	audhd_core_features
24	2	64	diagnostic_assessment
24	3	214	camouflaging
25	1	309	order_chaos_paradox
25	2	107	executive_function
25	3	343	need_for_structure
26	1	361	procrastination
26	2	317	perfectionism
26	3	36	executive_shutdown
26	4	204	fear_of_error
27	1	450	stimming
27	2	419	self_regulation
27	3	346	repetitiveness
27	4	485	nervous_system
28	1	151	interoception
28	2	459	bodily_signals
28	3	114	hunger
28	4	471	body_awareness
29	1	7	alexithymia
29	2	91	emotions
29	3	402	emotion_recognition
30	1	214	camouflaging
30	2	139	impulsivity
30	3	177	social_communication
30	4	99	audhd_phenotype
31	1	539	decision_fatigue
31	2	107	executive_function
31	3	368	cognitive_overload
32	1	154	eating
32	2	151	interoception
32	3	518	food_selectivity
32	4	378	sensory_processing
33	1	141	autistic_inertia
33	2	374	task_switching
33	3	540	activity_transition
33	4	107	executive_function
34	1	541	variable_sensory_thresholds
34	2	239	hypersensitivity
34	3	395	sensory_regulation
35	1	108	performance_under_pressure
35	2	234	motivation
35	3	36	executive_shutdown
36	1	490	demand_avoidance
36	2	26	autonomy
36	3	282	resistance
36	4	107	executive_function
