1	1	394	speech_regulation
1	2	175	communication
1	3	349	pragmatics
2	1	33	bimodal_speech_pattern
2	2	177	social_communication
2	3	394	speech_regulation
3	1	175	communication
3	2	394	speech_regulation
3	3	460	social_cues
4	1	33	bimodal_speech_pattern
4	2	142	infodumping
4	3	212	reduced_verbal_output
4	4	461	feedback_signals
5	1	349	pragmatics
5	2	177	social_communication
5	3	175	communication
6	1	142	infodumping
6	2	529	special_interests
6	3	394	speech_regulation
7	1	520	social_exploitation
7	2	22	relational_asymmetry
7	3	142	infodumping
7	4	120	boundaries
8	1	538	external_regulation
8	2	209	time_limit
8	3	175	communication
8	4	414	self_control
9	1	349	pragmatics
9	2	175	communication
9	3	392	references
