1	1	392	references
1	2	535	source_trust
1	3	499	verification
1	4	99	audhd_phenotype
2	1	392	references
2	2	222	metadata
2	3	499	verification
2	4	535	source_trust
3	1	214	camouflaging
3	2	233	monotropism
3	3	328	double_empathy_problem
3	4	99	audhd_phenotype
3	5	516	co_occurring_autism_and_adhd
4	1	516	co_occurring_autism_and_adhd
4	2	99	audhd_phenotype
4	3	109	genetics
4	4	75	adulthood
4	5	392	references
5	1	348	late_diagnosis
5	2	510	post_diagnostic_support
5	3	344	post_diagnostic_needs
5	4	75	adulthood
5	5	384	psychoeducation
