number	source_filename	artist_original	artist_normalized	artist_parsed	title_original	title_normalized	title_parsed	youtube_video_id
201	0201 - Mela Koteluk - Mela Koteluk & Hania Rani - Odprowadź (Piano Version) [SuloX7t_OsU].webm	Mela Koteluk & Hania Rani	mela koteluk & hania rani	mela koteluk hania rani	Odprowadź (Piano Version)	odprowadź (piano version)	odprowadz piano version	SuloX7t_OsU
202	0202 - Pink Floyd - Pink Floyd - High Hopes (Official Music Video HD) [7jMlFXouPk8].webm	Pink Floyd	pink floyd	pink floyd	High Hopes (Official Music Video HD)	high hopes (official music video hd)	high hopes official music video hd	7jMlFXouPk8
203	0203 - Stealing .Pink - Pink Floyd   Marooned 2011   Remaster   1080p [v-3MOYfX24g].webm	Stealing .Pink	stealing .pink	stealing pink	Pink Floyd Marooned 2011 Remaster 1080p	pink floyd marooned 2011 remaster 1080p	pink floyd marooned 2011 remaster 1080p	v-3MOYfX24g
204	0204 - Adam Repucha - Adam Repucha - Atlas wysp [fZlCU_u16hY].webm	Adam Repucha	adam repucha	adam repucha	Atlas wysp	atlas wysp	atlas wysp	fZlCU_u16hY
205	0205 - TheFruitcakesVEVO - The Fruitcakes - Wherever (Official Video) [T-Ja-6bv5yY].webm	The Fruitcakes	the fruitcakes	the fruitcakes	Wherever (Official Video)	wherever (official video)	wherever official video	T-Ja-6bv5yY
206	0206 - Jaguar Jaguar - Jaguar Jaguar - My Guess [nOZSmMwuT9c].webm	Jaguar Jaguar	jaguar jaguar	jaguar jaguar	My Guess	my guess	my guess	nOZSmMwuT9c
207	0207 - Indian Askin - Indian Askin - Deep End [iEdb-kdLdP8].webm	Indian Askin	indian askin	indian askin	Deep End	deep end	deep end	iEdb-kdLdP8
208	0208 - Balthazar - Balthazar - Halfway (Lyric Video) [tOco8PgRQq4].webm	Balthazar	balthazar	balthazar	Halfway (Lyric Video)	halfway (lyric video)	halfway lyric video	tOco8PgRQq4
209	0209 - Eefje de Visser - Eefje de Visser - Scheef [0WXMkk8WURE].webm	Eefje de Visser	eefje de visser	eefje de visser	Scheef	scheef	scheef	0WXMkk8WURE
210	0210 - Aafke Romeijn - Aafke Romeijn ft. Spinvis - Ameland (official video) [My8vgEMF-Ow].webm	Aafke Romeijn ft. Spinvis	aafke romeijn ft. spinvis	aafke romeijn ft spinvis	Ameland (official video)	ameland (official video)	ameland official video	My8vgEMF-Ow
211	0211 - Daria Zawiałow - Daria Zawiałow - Hej Hej! (Official Video) [_xR2BymJj6U].webm	Daria Zawiałow	daria zawiałow	daria zawialow	Hej Hej! (Official Video)	hej hej! (official video)	hej hej official video	_xR2BymJj6U
212	0212 - Rag'n'Bone Man - Rag'n'Bone Man - As You Are (Official Video) [6L8N4hpEbaM].webm	Rag'n'Bone Man	rag'n'bone man	rag n bone man	As You Are (Official Video)	as you are (official video)	as you are official video	6L8N4hpEbaM
