number	source_filename	artist_original	artist_normalized	artist_parsed	title_original	title_normalized	title_parsed	youtube_video_id
253	0253 - The Dø - Only Takes A Night (Unreleased B-side) [FOazr944b8g].webm	The Dø	the dø	the d	Only Takes A Night (Unreleased B-side)	only takes a night (unreleased b-side)	only takes a night unreleased b side	FOazr944b8g
254	0254 - louis aguilar - Louis Aguilar - Who are you (acoustic) [WHXlfdPZq88].webm	Louis Aguilar	louis aguilar	louis aguilar	Who are you (acoustic)	who are you (acoustic)	who are you acoustic	WHXlfdPZq88
255	0255 - Zespół Hurt - HURT - Załoga G (winyl już dostępny-link w komentarzu) [8tpY2X2wWyQ].webm	HURT	hurt	hurt	Załoga G (winyl już dostępny-link w komentarzu)	załoga g (winyl już dostępny-link w komentarzu)	zaloga g winyl juz dostepny link w komentarzu	8tpY2X2wWyQ
256	0256 - Imagine Dragons - Believer (Live⧸Acoustic) [kYqzKAe7oME].webm	Imagine Dragons	imagine dragons	imagine dragons	Believer (Live/Acoustic)	believer (live/acoustic)	believer live acoustic	kYqzKAe7oME
257	0257 - Pink Floyd Remasted Songs - Pink Floyd - Money (2011 Remastered) [sndo_wdc384].webm	Pink Floyd	pink floyd	pink floyd	Money (2011 Remastered)	money (2011 remastered)	money 2011 remastered	sndo_wdc384
258	0258 - Queen Official - Queen - A Kind of Magic (Official Video Remastered) [0p_1QSUsbsM].webm	Queen	queen	queen	A Kind of Magic (Official Video Remastered)	a kind of magic (official video remastered)	a kind of magic official video remastered	0p_1QSUsbsM
260	0260 - Mystic Production TV - Lao Che - Wojenka (official single) [o2JUFe9sND4].webm	Lao Che	lao che	lao che	Wojenka (official single)	wojenka (official single)	wojenka official single	o2JUFe9sND4
261	0261 - S.P. RECORDS - KULT - Gdy nie ma dzieci [OFFICIAL VIDEO] [I8NcELiIMHg].webm	KULT	kult	kult	Gdy nie ma dzieci [OFFICIAL VIDEO]	gdy nie ma dzieci [official video]	gdy nie ma dzieci official video	I8NcELiIMHg
263	0263 - Eric Clapton - Eric Clapton - Layla [Unplugged...Over 30 Years Later] (Official Live Video) [kseSoguuiCs].webm	Eric Clapton	eric clapton	eric clapton	Layla [Unplugged...Over 30 Years Later] (Official Live Video)	layla [unplugged...over 30 years later] (official live video)	layla unplugged over 30 years later official live video	kseSoguuiCs
264	0264 - Jimi Hendrix - The Jimi Hendrix Experience - Purple Haze (Official Audio) [WGoDaYjdfSg].webm	The Jimi Hendrix Experience	the jimi hendrix experience	the jimi hendrix experience	Purple Haze (Official Audio)	purple haze (official audio)	purple haze official audio	WGoDaYjdfSg
