audio_number	audio_id	youtube_video_id	audio_artist	audio_title	audio_artist_parsed	audio_title_parsed	candidate_utwu_id	candidate_spotify_order	candidate_artist	candidate_title	candidate_artist_parsed	candidate_title_parsed	score	artist_score	title_score	gap_to_second	quality	second_utwu_id	second_artist	second_title	second_score
253	audio-0253	FOazr944b8g	The Dø	Only Takes A Night (Unreleased B-side)	the d	only takes a night unreleased b side	utwu-000603	336	The Dø	Only Takes A Night (Unreleased B-side)	the d	only takes a night unreleased b side	1.0000	1.0000	1.0000	0.4829	exact	utwu-000618	The Doors	Light My Fire	0.5171
254	audio-0254	WHXlfdPZq88	Louis Aguilar	Who are you (acoustic)	louis aguilar	who are you acoustic	utwu-000604	335	Louis Aguilar	Who are you ?	louis aguilar	who are you	0.9214	1.0000	0.8571	0.4726	high	utwu-000606	Imagine Dragons	Believer - Live/Acoustic	0.4488
256	audio-0256	kYqzKAe7oME	Imagine Dragons	Believer (Live/Acoustic)	imagine dragons	believer live acoustic	utwu-000606	333	Imagine Dragons	Believer - Live/Acoustic	imagine dragons	believer live acoustic	1.0000	1.0000	1.0000	0.5979	exact	utwu-000622	The Doors	Riders on the Storm	0.4021
258	audio-0258	0p_1QSUsbsM	Queen	A Kind of Magic (Official Video Remastered)	queen	a kind of magic official video remastered	utwu-000608	331	Queen	A Kind Of Magic - Remastered 2011	queen	a kind of magic remastered 2011	0.9518	1.0000	0.9123	0.1924	high	utwu-000008	Queen	I'm Going Slightly Mad - Remastered 2011	0.7594
261	audio-0261	I8NcELiIMHg	KULT	Gdy nie ma dzieci [OFFICIAL VIDEO]	kult	gdy nie ma dzieci official video	utwu-000611	328	Kult	Gdy nie ma dzieci	kult	gdy nie ma dzieci	1.0000	1.0000	1.0000	0.4512	exact	utwu-000609	Kult	Madryt	0.5488
265	audio-0265	gAirINwjaxE	Dire Straits	Tunnel Of Love (Official Music Video)	dire straits	tunnel of love official music video	utwu-000616	323	Dire Straits	Tunnel Of Love	dire straits	tunnel of love	1.0000	1.0000	1.0000	0.3300	exact	utwu-000637	Dire Straits	Sultans Of Swing	0.6700
266	audio-0266	gvDKuRP8vRE	STRACHY NA LACHY	Czarny chleb i czarna kawa [OFFICIAL AUDIO]	strachy na lachy	czarny chleb i czarna kawa official audio	utwu-000617	322	Strachy Na Lachy	Czarny chleb i czarna kawa	strachy na lachy	czarny chleb i czarna kawa	1.0000	1.0000	1.0000	0.5081	exact	utwu-000268	Aluminium	I'm Bound To Pack It Up	0.4919
268	audio-0268	nFBBD1Eim1E	STRACHY NA LACHY	Piła tango [OFFICIAL VIDEO]	strachy na lachy	pila tango official video	utwu-000619	320	Strachy Na Lachy	Piła tango	strachy na lachy	pila tango	1.0000	1.0000	1.0000	0.5069	exact	utwu-000632	Strachy Na Lachy	Dzień dobry, kocham Cię	0.4931
269	audio-0269	nrIPxlFzDi0	The Rolling Stones	(I Can't Get No) Satisfaction (Official Lyric Video)	the rolling stones	i can t get no satisfaction official lyric video	utwu-000620	319	The Rolling Stones	(I Can't Get No) Satisfaction - Mono	the rolling stones	i can t get no satisfaction mono	0.9476	1.0000	0.9048	0.3143	high	utwu-000614	The Rolling Stones	Paint It, Black	0.6333
270	audio-0270	a_Moi6KlpJI	Genesis	I Can't Dance (Remastered 2007)	genesis	i can t dance remastered 2007	utwu-000621	318	Genesis	I Can't Dance - Remastered 2007	genesis	i can t dance remastered 2007	1.0000	1.0000	1.0000	0.5634	exact	utwu-000564	Genesis	Carpet Crawlers	0.4366
