audio_number	audio_id	youtube_video_id	audio_artist	audio_title	audio_artist_parsed	audio_title_parsed	candidate_utwu_id	candidate_spotify_order	candidate_artist	candidate_title	candidate_artist_parsed	candidate_title_parsed	score	artist_score	title_score	gap_to_second	quality	second_utwu_id	second_artist	second_title	second_score
201	audio-0201	SuloX7t_OsU	Mela Koteluk & Hania Rani	Odprowadź (Piano Version)	mela koteluk hania rani	odprowadz piano version	utwu-000719	220	Mela Koteluk, Hania Rani	Odprowadź (Piano Version)	mela koteluk | hania rani	odprowadz piano version	1.0000	1.0000	1.0000	0.3531	exact	utwu-000750	Mela Koteluk	Odprowadź	0.6469
203	audio-0203	v-3MOYfX24g	Pink Floyd	Marooned 2011 Remaster 1080p	pink floyd	marooned 2011 remaster 1080p	utwu-000721	218	Pink Floyd	Marooned - 2011 Remaster	pink floyd	marooned 2011 remaster	0.9340	1.0000	0.8800	0.1104	high	utwu-000007	Pink Floyd	Cluster One - 2011 Remaster	0.8236
204	audio-0204	fZlCU_u16hY	Adam Repucha	Atlas wysp	adam repucha	atlas wysp	utwu-000722	217	Adam Repucha	Atlas wysp	adam repucha	atlas wysp	1.0000	1.0000	1.0000	0.5681	exact	utwu-000840	Maja Kleszcz	Damą Być	0.4319
205	audio-0205	T-Ja-6bv5yY	The Fruitcakes	Wherever (Official Video)	the fruitcakes	wherever official video	utwu-000723	216	The Fruitcakes	Wherever	the fruitcakes	wherever	1.0000	1.0000	1.0000	0.5011	exact	utwu-000417	Imagine Dragons	Believer	0.4989
206	audio-0206	nOZSmMwuT9c	Jaguar Jaguar	My Guess	jaguar jaguar	my guess	utwu-000724	215	Jaguar Jaguar	My Guess	jaguar jaguar	my guess	1.0000	1.0000	1.0000	0.4033	exact	utwu-000714	Jaguar Jaguar	So Long	0.5967
207	audio-0207	iEdb-kdLdP8	Indian Askin	Deep End	indian askin	deep end	utwu-000725	214	Indian Askin	Deep End	indian askin	deep end	1.0000	1.0000	1.0000	0.5506	exact	utwu-000147	Tindersticks	Let's Pretend	0.4494
208	audio-0208	tOco8PgRQq4	Balthazar	Halfway (Lyric Video)	balthazar	halfway lyric video	utwu-000726	213	Balthazar	Halfway	balthazar	halfway	1.0000	1.0000	1.0000	0.3929	exact	utwu-000119	Balthazar	True Love	0.6071
209	audio-0209	0WXMkk8WURE	Eefje de Visser	Scheef	eefje de visser	scheef	utwu-000727	212	Eefje de Visser	Scheef	eefje de visser	scheef	1.0000	1.0000	1.0000	0.5571	exact	utwu-000475	Aurélie Saada	Pistache	0.4429
210	audio-0210	My8vgEMF-Ow	Aafke Romeijn ft. Spinvis	Ameland (official video)	aafke romeijn ft spinvis	ameland official video	utwu-000728	211	Aafke Romeijn, Spinvis	Ameland	aafke romeijn | spinvis	ameland	1.0000	1.0000	1.0000	0.5257	exact	utwu-000415	Nessi Gomes	All Related	0.4743
211	audio-0211	_xR2BymJj6U	Daria Zawiałow	Hej Hej! (Official Video)	daria zawialow	hej hej official video	utwu-000729	210	Daria Zawiałow	Hej Hej!	daria zawiałow	hej hej	0.9679	0.9286	1.0000	0.4675	high	utwu-000740	Daria Zawiałow	Malinowy Chruśniak	0.5004
212	audio-0212	6L8N4hpEbaM	Rag'n'Bone Man	As You Are (Official Video)	rag n bone man	as you are official video	utwu-000730	209	Rag'n'Bone Man	As You Are	rag n bone man	as you are	1.0000	1.0000	1.0000	0.4180	exact	utwu-000011	Rag'n'Bone Man	Life In Her Yet	0.5820
214	audio-0214	Hz2nHI5JGxU	Artur Rojek	Sportowe życie (Official Video)	artur rojek	sportowe zycie official video	utwu-000732	207	Artur Rojek	Sportowe życie	artur rojek	sportowe zycie	1.0000	1.0000	1.0000	0.3300	exact	utwu-000755	Artur Rojek	Syreny	0.6700
215	audio-0215	xvqqk2yn5W4	Rag'n'Bone Man	Odetta (Official Audio)	rag n bone man	odetta official audio	utwu-000733	206	Rag'n'Bone Man	Odetta	rag n bone man	odetta	1.0000	1.0000	1.0000	0.3438	exact	utwu-000718	Rag'n'Bone Man	Be the Man	0.6562
216	audio-0216	1l0czajACYg	Donna Blue	Desert Lake (Official Video)	donna blue	desert lake official video	utwu-000734	205	Donna Blue	Desert Lake	donna blue	desert lake	1.0000	1.0000	1.0000	0.4988	exact	utwu-000860	Joe Bel	Too Late	0.5012
217	audio-0217	AoTbXrbdhRU	Pink Floyd	Wearing The Inside Out - Remaster 2011 (06)	pink floyd	wearing the inside out remaster 2011 06	utwu-000735	204	Pink Floyd	Wearing The Inside Out - 2011 Remaster	pink floyd	wearing the inside out 2011 remaster	0.9577	1.0000	0.9231	0.2443	high	utwu-000957	Pink Floyd	Wish You Were Here - 2011 Remaster	0.7134
218	audio-0218	czdfjVFTGoM	tunng	Death is the New Sex [Official Audio]	tunng	death is the new sex official audio	utwu-000736	203	Tunng	Death Is the New Sex	tunng	death is the new sex	1.0000	1.0000	1.0000	0.4278	exact	utwu-000471	Tunng	Bullets	0.5722
219	audio-0219	_vw2K0AgFF0	KULT	Arahja [OFFICIAL VIDEO]	kult	arahja official video	utwu-000737	202	Kult	Arahja	kult	arahja	1.0000	1.0000	1.0000	0.3667	exact	utwu-000609	Kult	Madryt	0.6333
220	audio-0220	-Gb7tI7zL9E	Hooverphonic	Romantic	hooverphonic	romantic	utwu-000738	201	Hooverphonic	Romantic	hooverphonic	romantic	1.0000	1.0000	1.0000	0.3143	exact	utwu-000767	Hooverphonic	Amalfi	0.6857
221	audio-0221	x3kicEsx7g0	KULT	Polska [OFFICIAL VIDEO]	kult	polska official video	utwu-000739	200	KULT	Polska	kult	polska	1.0000	1.0000	1.0000	0.2500	exact	utwu-000781	KULT	Wódka	0.7500
