dokument_kod	anchor	opis
A2	gradually-stalo-sie-suddenly	Aktualizowana analiza przejścia rosyjskiego systemu od narastającej degradacji do zmian jakościowych. Łączy uderzenia, logistykę, energię, politykę i kalibrację prognoz.
A2	wstep-jakosciowa-zmiana	Od monografii rafinerii do sekwencyjnej analizy systemowego rozkładu Rosji.
A2	zmiana-ilosciowa	Wykładniczy wzrost liczby, częstotliwości i zasięgu ukraińskich uderzeń.
A2	zmiana-jakosciowa	Rozszerzenie kampanii z rafinerii na logistykę, Krym, sygnalizację i rynek paliw.
A2	dokument-o-dokumencie	Zmiana z kroniki uderzeń w analizę systemowego rozkładu.
A2	lista-uderzen	Kotwica po wydzieleniu pełnej kroniki uderzeń do osobnego pliku.
A2	nota-metodologiczna	Wariantowe wnioskowanie przy nieznanych danych, bez zgadywania brakujących zmiennych.
A2	galeria-celow	Wybrane uderzenia jako przykłady mechanizmów i logiki całej kampanii.
A2	cele-niekinetyczne	Presja na percepcję, dowodzenie i morale zamiast wyłącznie celów fizycznych.
A2	krym-efekt-uboczny	Izolacja Krymu jako produkt uboczny kampanii przeciw logistyce i energii.
A2	trzy-wektory	Lądowy, morski i mostowy kanał zaopatrzenia Krymu oraz ich degradacja.
A2	r280-tarcza	Usunięcie cywilów z R-280 jako wymuszony kompromis logistyczny Rosji.
A2	dekret-dron-tarcza	Usunięcie cywilów z R-280 jako wymuszona rezygnacja z tarczy.
A2	most-przyneta	Nietknięty Most Kerczeński wiąże rosyjską OPL i odsłania inne cele.
A2	most-poker-meta	Trzy strategie wobec mostu: wcześniej, na finał albo permanentne ciśnienie.
A2	krym-darmowy	Odcięcie portów Krymu przez uderzanie w rosyjski koniec szlaku morskiego.
A2	morza-drugi-koniec	Porty rosyjskie i okupowane jako węzły morskiego łańcucha zaopatrzenia.
A2	morza-czarne	Czarnomorskie porty Krasnodaru obsługujące eksport i logistykę wojenną.
A2	morza-azowskie-ru	Rosyjskie porty azowskie jako drugi koniec łańcucha logistycznego.
A2	morza-azowskie-okup	Mariupol i Berdiańsk jako okupowane węzły przeładunkowe na Morzu Azowskim.
A2	krym-wyspa	Stopniowa utrata połączeń zamienia Krym w wyspę logistyczną.
