dokument_kod	anchor	opis
A4	tytul	Lipiec 2026 jako przejście ukraińskiej presji z pojedynczych uderzeń na skalę systemową. Analiza paliw, gospodarki, mobilizacji, adaptacji i kurczących się opcji Rosji.
A4	skala-hurtu	Zmiana jednostki pomiaru: z pojedynczych trafień na bilans całych klas zdolności.
A4	przerob-dno-dwudziestolecia	Rosyjski przerób ropy na minimum od dwóch dekad, z trwałymi wyłączeniami rafinerii.
A4	tempo-uderzen	Skok liczby i geograficznego zasięgu trafień w rosyjską infrastrukturę paliwową.
A4	dygresja-o-lulu	Rzekoma pauza rafineryjna była przesunięciem kampanii na magazyny i logistykę.
A4	zasieg-kryzysu	Deficyt paliw obejmuje niemal całą Rosję i zaczyna dotykać także frontu.
A4	co-znaczy-hurt	Celami stają się klasy obiektów, a miarą bilans i nieodwracalność strat.
A4	marketplace-jako-cel	Magazyny handlu internetowego jako element wojskowej logistyki i kanał transmisji strat finansowych.
A4	kampania-wildberries	Seria uderzeń w magazyny Wildberries odsłania nową, słabo bronioną klasę celów.
A4	dygresja-ewakuacja	Brak ewakuacji pracowników jako wskaźnik nieprzygotowania systemu na tę kategorię uderzeń.
A4	pierwszy-ozon	Rozszerzenie kampanii z Wildberries na infrastrukturę Ozona.
A4	uzasadnienie-celu	Marketplace jako realny węzeł dostaw wojskowych, nie przypadkowy obiekt cywilny.
A4	powod-nie-pretekst	Rosyjskie oznaczenia wojskowych towarów potwierdzają materialny powód wyboru celu.
A4	co-mogla-zrobic-ue	UE odpowiada sankcjami na te same podmioty, zamiast podważać ukraińską kwalifikację celu.
A4	efekt-finansowy	Straty magazynowe przechodzą na sprzedawców, kredyty, rezerwy bankowe i państwo.
A4	milczenie-strategiczne	Zachód działa według analiz strukturalnych, ale publicznie mówi głównie o bieżących zdarzeniach.
A4	luka-miedzy-wiedza-a-mowa	Decyzje Zachodu zdradzają więcej wiedzy strategicznej niż oficjalne wypowiedzi.
A4	slowo-jako-zobowiazanie	Strategiczna prognoza urzędującego polityka natychmiast tworzy obowiązek działania.
A4	pytanie-ktorego-nikt-nie-chce	Rozpad Rosji otwiera niewygodne pytanie o kontrolę arsenału jądrowego.
A4	dygresja-cena-ropy	Słowa decydentów o rosyjskiej ropie same mogą poruszać cenami energii.
A4	koszt-pomylki	Politycznie taniej milczeć niż publicznie pomylić się co do rozpadu Rosji.
A4	emeryci-mowia	Po odejściu z urzędu ci sami ludzie mówią znacznie swobodniej o scenariuszach końcowych.
A4	media-tez	Media unikają kategorycznych prognoz strukturalnych z innych powodów niż urzędujący politycy.
A4	blad-ramy-porownawczej	Błędne analogie historyczne zasłaniają odmienną strukturę obecnej rosyjskiej erozji.
A4	kto-moze-zobaczyc	Najłatwiej nazwać pełny obraz tym, którzy nie ponoszą kosztu własnej diagnozy.
A4	budanow-zelenski	Zmiana języka ukraińskiego kierownictwa z przetrwania na termin zakończenia wojny.
A4	awans-ktory-jest-teza	Awans Budanowa odczytany jako przesunięcie ciężaru ku fazie politycznego domknięcia.
A4	od-przetrwania-do-terminu	Publiczny język przechodzi od „wytrzymamy” do konkretnego okna zakończenia wojny.
A4	doktryna-maksymalizacji	Wyjście z eskalacji przez zwiększenie presji aż do wymuszenia decyzji przeciwnika.
A4	doslownosc	Dosłowne komunikaty jako świadome ograniczenie nadinterpretacji i propagandowego szumu.
A4	rejestr-mnicha	Budanow jako chłodny nadawca opisujący zweryfikowane zadania bez triumfalizmu.
A4	ta-sama-warstwa	Brak performatywnego triumfu jako wspólna cecha analizowanych wypowiedzi.
A4	gramatyka-budanowa	Lipcowy język potwierdza wcześniejszy odczyt przemilczeń i kolejności komunikacji Budanowa.
A4	co-mowia-a-czego-nie	Jawność kończy się przed pytaniem o rozpad Rosji, Putina i arsenał jądrowy.
A4	kasparow	Niezmienna od lat diagnoza Kasparowa jako linia bazowa dla przesuwającej się rzeczywistości.
A4	dwadziescia-lat-tej-samej-tezy	Stała teza: reżim Putina kończy się dopiero wraz z rosyjską porażką.
A4	trzy-rzeczy-ktorych-nikt-nie-mowi	Kasparow wypowiada wprost trzy wnioski omijane przez urzędujących decydentów.
A4	teza-rozpadnie-sie	Rozpad rosyjskiej konstrukcji imperialnej jako przewidywany skutek przegranej reżimu.
A4	teza-powinna-sie-rozpasc	Rozpad Rosji przedstawiony także jako pożądany wynik moralny i strategiczny.
A4	teza-chiny-zyskuja	Pekin jako główny beneficjent przeciągającej się wojny i rosnącej zależności Rosji.
A4	teza-nic-strasznego	Rozpad imperium nie musi być katastrofą większą niż koszt jego dalszego trwania.
A4	dlaczego-teraz-brzmi-inaczej	Dane przesunęły się w stronę diagnozy, która wcześniej brzmiała jak dysydencka przesada.
