dokument_kod	anchor	opis
A3	lista-celow	Chronologiczny rejestr strategicznych uderzeń od stycznia do czerwca 2026: cele, skutki, zasięg i zmieniający się rytm kampanii.
A3	lista-uderzen	Uderzenia uporządkowane okresami, z klasyfikacją celów, skutków i frontów.
A3	lista-wstep	Kluczowe daty, zasady klasyfikacji, statusy uszkodzeń i statystyki bazowe.
A3	okres-1	Rejestr uderzeń 4–17 stycznia: początkowa, rzadka faza kampanii.
A3	okres-2	Rejestr uderzeń 18–31 stycznia: powrót rafinerii i pierwsze zagęszczenie celów.
A3	okres-3	Rejestr uderzeń 1–14 lutego: Wołgograd i skok zasięgu do głębokiego zaplecza.
A3	okres-4	Rejestr uderzeń 15–28 lutego: spowolnienie zakończone wybuchem wojny w Iranie.
A3	okres-4-paradoks-hormuz	Start paradoksu Hormuz: wojna w Iranie chwilowo podnosi rosyjskie przychody naftowe.
A3	okres-5	Rejestr uderzeń 1–14 marca: elektronika, gaz i dobór precyzyjniejszej amunicji.
A3	okres-6	Rejestr uderzeń 15–28 marca: dywersyfikacja na Bałtyk, Powołże, chemię i lotnictwo.
A3	okres-7	Rejestr uderzeń 29 marca–11 kwietnia: selektywna pauza, nie pełne wstrzymanie.
A3	okres-7-korekta-pauza	Wielkanocna pauza dotyczyła wybranych klas celów, nie całej kampanii.
A3	okres-8	Rejestr uderzeń 12–25 kwietnia: Morze Czarne, Baszkortostan i kompresja cyklu napraw.
A3	okres-9	Rejestr uderzeń 26 kwietnia–9 maja: głębia Rosji, Bałtyk i nowe węzły produkcyjne.
A3	okres-10	Rejestr uderzeń 10–16 maja: demembranizacja perymetru Moskwy i dalsza kompresja rafinerii.
A3	okres-10-nota-rytm	Tempo zdarzeń wymusza przejście rejestru z okresów dwutygodniowych na tygodniowe.
A3	okres-11	Rejestr 17–23 maja: uderzenia połączone z kampanią komunikacyjną i sygnalizacją.
A3	okres-11-trzydniowa-kampania	Zsynchronizowana warstwa komunikacyjna 17–18 maja nad kampanią kinetyczną.
A3	okres-12	Rejestr 24–30 maja: kulminacja uderzeń głębokich i formalizacja „long-range sanctions”.
A3	okres-12-pakiet-2705	27 maja: największy dotąd pakiet równoległych uderzeń głębokich.
A3	statystyki-maja-syrski	Oficjalny bilans ZSU za maj: cele Deep Strike, straty, terytorium i obrona powietrzna.
A3	okres-13	Rejestr 31 maja–6 czerwca: SPIEF, Bałtyk, Krym i rozszerzenie kampanii do około 1000 km.
A3	okres-13-spief	Uderzenie w Petersburg w dniu otwarcia SPIEF jako czysta sygnalizacja kalendarzem.
A3	okres-14	Rejestr 7–13 czerwca: interdykcja R-280, podstacje, kolej, arsenały i nowe typy celów.
A3	okres-15	Rejestr 14–20 czerwca: dalsza presja na paliwa, Moskwę, Krym i infrastrukturę.
A3	okres-16	Rejestr od 21 czerwca: Krym jako wyspa, mikroelektronika, rafinerie i krajowa kaskada paliwowa.
